show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0001,Movie,One More Day,Liam Miller,James Kumar,United States,"August 31, 2023",1996,TV-PG,146 min,"Comedy, British TV Shows","A powerful story exploring relationships, identity, and the search for belonging."
s0002,Movie,One More Day 2013,Olivia Wilson,Alex Miller,United States,,2018,TV-MA,134 min,Documentaries,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0003,TV Show,Hidden Lives,,"Emily Garcia, Daniel Jones, Maya Miller",Italy,"May 13, 2020",2002,TV-G,5 Seasons,"Crime TV Shows, Comedy, Thrillers","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0004,TV Show,City Stories,,Arjun Sharma,"India, South Korea",,2001,TV-MA,3 Seasons,"Anime Series, British TV Shows","A compelling story about friendship, family, and unexpected choices."
s0005,Movie,Midnight Streets,,"James Kumar, Robert Smith, Emma Kumar, Maya Anderson","France, Australia","May 14, 2023",2022,R,127 min,"Drama, Horror Movies",A young protagonist must overcome difficult challenges to find a new beginning.
s0006,Movie,The Last Horizon,Olivia Jones,Isabella Garcia,Germany,"February 02, 2019",2019,TV-14,122 min,Romantic Movies,A young protagonist must overcome difficult challenges to find a new beginning.
s0007,Movie,The Secret Garden,David Martin,,"France, Australia","February 23, 2026",2010,TV-14,104 min,Comedy,A group of strangers discovers a secret that changes their lives forever.
s0008,Movie,A Second Chance,Emily Wilson,"Lucas Sharma, Ethan Anderson","South Korea, Mexico","June 19, 2024",2011,PG,76 min,Action & Adventure,"A powerful story exploring relationships, identity, and the search for belonging."
s0009,Movie,Into the Wild 2019,,"Chris Kim, Maya Williams, Olivia Patel",Italy,"April 27, 2021",1990,TV-MA,79 min,"Horror Movies, Documentaries","A compelling story about friendship, family, and unexpected choices."
s0010,Movie,Parallel Lives,Isabella Patel,"Emma Jones, Olivia Williams, Alex Smith",United States,"August 14, 2020",2020,R,143 min,"Sci-Fi & Fantasy, Anime Series","When an unexpected event occurs, a determined group sets out to uncover the truth."
